epoch,loss,val_loss
0,0.006297125027992005,0.0061053612245690675
1,0.006195499960672325,0.006242030455516957
2,0.006109272096454792,0.0059645827514632575
3,0.005832572076035999,0.005954819166075944
4,0.005804871113980052,0.0062046390577873275
5,0.006251485348957026,0.006235299881405561
6,0.006158130255656006,0.006257586742634602
7,0.005916981380570587,0.0056738822256802365
8,0.005717935290111284,0.005646166170961947
9,0.005802109337547348,0.005785004962403814
10,0.00582880581922968,0.005785821348844656
11,0.005934733977960106,0.005907778864836906
12,0.005857941829522051,0.005773456771807175
13,0.005801902940345849,0.0059303326769914195
14,0.005945474448554974,0.005914689502330555
15,0.005965342562604853,0.005900131889349228
16,0.005830038955017455,0.005884233895539209
17,0.005680369032632351,0.005707973443858667
18,0.005702684916518979,0.005683812259889837
19,0.0056875979747880254,0.005667993761119415
20,0.005606227992423034,0.005619219898145071
